CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,salary
7.6,0,2,0,80,3.7,1,0,85,61,0,
7.3,1,2,0,71,4.4,0,1,58,67,0,
8.1,1,2,1,78,3.5,0,1,71,70,0,
7.6,2,3,0,88,4.4,0,1,80,68,1,
7.4,1,2,0,77,3.8,0,1,59,63,0,
8.4,0,2,1,85,4.3,1,1,62,81,1,
6.7,1,2,1,73,4.3,0,1,71,66,0,
6.5,1,1,0,70,4.7,0,1,79,64,0,
7.4,1,2,1,68,3.4,0,1,57,61,0,
8.4,2,3,1,76,4.1,1,1,68,64,0,
6.5,1,1,0,68,4.3,0,1,55,70,0,
6.6,1,2,1,82,4.4,1,1,74,82,0,
8.1,0,2,2,80,4.4,1,0,82,85,1,
6.5,1,1,0,74,4.2,0,0,59,65,0,
8.5,1,3,2,75,4.5,1,1,75,84,0,
8.7,2,3,2,90,4.8,1,1,83,81,1,
7.5,1,2,3,86,4.8,0,1,60,67,0,
8.1,2,3,2,90,4.8,1,1,86,88,1,
8.2,1,3,1,83,4.1,1,1,77,83,0,
8.7,2,1,0,66,4.8,1,0,70,59,0,
6.6,0,1,2,72,4.2,0,1,86,88,1,
8.1,0,2,3,78,4.1,1,1,81,78,1,
6.5,1,3,0,80,3.7,0,0,59,66,0,
7.4,1,1,0,88,4.5,0,1,76,71,1,
8.2,2,3,2,80,4.8,1,1,79,84,1,
6.8,2,2,2,80,4.6,0,1,61,69,0,
8,1,2,1,76,4.5,0,1,68,75,0,
8.5,1,3,0,82,4.4,1,1,68,88,1,
6.6,1,2,1,65,4.1,0,0,56,58,0,
8.4,1,2,0,79,3.8,0,1,60,64,0,
7.8,1,1,1,79,3.7,0,1,56,59,0,
7.7,1,2,0,81,3.8,1,1,65,59,0,
6.8,1,1,0,73,3.7,0,1,55,65,0,
7.3,1,2,1,71,4.7,0,0,59,57,0,
6.5,2,2,2,79,4.5,1,1,83,87,1,
8.3,2,1,1,83,4.5,1,1,82,86,0,
7.3,1,2,1,79,3.8,0,1,58,73,0,
6.8,1,2,1,65,3.9,1,1,71,85,1,
8.7,1,3,2,90,4.8,1,1,69,88,1,
8.3,2,3,1,90,4.8,1,0,55,80,1,
8.2,1,2,1,79,3.8,1,1,55,70,0,
8.2,1,1,2,86,4.4,0,0,76,82,0,
8.5,0,2,0,81,3.2,0,1,55,63,0,
8,0,1,1,87,3.8,0,1,55,71,0,
7.9,1,1,0,77,4.7,1,1,64,60,0,
7.7,1,1,2,82,4.4,0,0,55,70,0,
7.6,0,3,3,75,4.3,1,1,82,87,1,
6.7,1,3,0,77,4.1,1,1,69,67,0,
8.5,0,2,2,75,4.5,1,0,76,83,1,
8.8,1,2,2,90,4.8,1,0,75,88,1,
6.5,2,3,1,82,4.6,1,0,83,63,0,
7.5,0,1,1,80,4.2,1,0,84,64,0,
7.7,2,3,2,78,4.6,1,1,78,83,0,
7.7,0,1,0,79,4.8,0,1,58,71,0,
8.6,1,1,2,84,4.3,1,1,57,82,1,
7.5,0,2,0,69,3.6,0,0,61,59,0,
6.8,1,1,0,68,4.3,0,1,65,69,0,
8.1,0,3,2,90,4.8,1,1,69,84,0,
8.4,2,3,3,82,4.5,1,0,82,85,1,
7.5,1,1,0,67,3.4,0,0,65,71,0,
8.1,1,3,0,70,4.8,1,0,71,72,0,
7.4,1,1,1,64,4,0,0,55,62,0,
8.4,2,3,2,80,4.6,1,1,72,79,1,
8.2,0,3,2,90,4.8,1,1,79,80,1,
8,1,2,1,80,4.3,0,1,71,61,0,
7.9,0,3,2,90,4.8,1,1,68,83,1,
6.8,0,1,0,77,3.3,0,0,64,69,0,
8.3,2,3,2,82,4.6,1,1,76,85,1,
7.4,1,2,1,75,4.3,0,1,55,85,0,
7.6,1,1,0,66,4.1,0,1,62,73,0,
8.5,2,3,1,90,4.8,1,1,78,82,0,
8.2,2,3,2,90,4.6,1,1,77,88,1,
8.2,1,3,2,90,4.3,0,1,77,82,1,
6.5,1,1,0,79,3.6,0,1,55,64,0,
7.5,1,1,2,82,4.5,1,1,77,84,1,
7.5,1,2,1,85,4.1,0,1,71,84,0,
6.6,0,1,1,67,4.3,0,1,56,65,0,
7.6,1,1,1,88,4.5,1,1,83,86,1,
7.5,1,1,1,81,4.5,1,1,64,68,0,
7.5,0,2,1,66,4.5,0,1,61,71,1,
8.5,2,3,1,85,4.3,1,1,88,80,1,
7.9,2,1,0,71,4.8,0,1,56,66,0,
8.2,0,2,0,85,4.1,1,0,57,70,0,
7.2,1,2,0,69,4,0,1,55,61,0,
8.6,2,3,2,90,4.8,1,1,75,84,1,
6.5,1,1,1,78,3.9,0,1,67,73,1,
8.7,1,3,0,86,4.5,1,1,77,81,1,
7.8,1,2,0,78,4.8,1,1,75,65,1,
7.7,1,1,0,80,4,0,1,55,66,0,
6.5,0,2,0,80,4.6,1,1,62,86,1,
8.5,1,2,1,71,3.8,1,1,78,69,0,
7.4,2,3,0,86,4.6,1,1,75,72,1,
8.6,1,3,2,81,4.8,1,1,71,82,1,
8,1,2,1,88,3.6,0,1,69,69,0,
7.8,1,3,1,89,4.6,1,1,73,79,1,
8.1,1,3,2,90,4.7,1,0,72,87,1,
7.2,1,2,0,83,4.5,0,1,74,69,0,
8.4,2,3,2,87,4.8,1,1,78,88,1,
8.4,0,3,2,85,4.6,1,1,90,79,0,
8.3,0,3,1,88,4.7,1,1,69,80,0,
7.2,0,2,1,66,3.9,0,0,67,69,0,
8.6,2,3,2,90,4.8,1,1,77,86,1,
7.9,2,1,0,73,4.2,0,0,56,71,0,
6.6,1,1,2,81,4.8,1,0,68,71,0,
7.1,1,1,1,63,3.6,0,1,58,68,0,
7.8,0,3,0,90,4.7,1,1,72,69,1,
6.6,1,1,1,81,4,0,0,73,72,0,
6.5,2,3,0,79,3.7,1,1,68,86,0,
7.5,2,1,0,83,4.6,1,0,58,81,0,
7.5,1,2,0,70,3.7,0,1,55,66,0,
7.8,0,2,2,74,4.6,1,1,58,60,0,
6.6,1,2,0,71,4,0,0,55,68,1,
7.4,1,2,0,72,4.3,0,1,55,62,0,
7.8,1,3,2,77,4.2,1,0,77,82,0,
8.2,2,3,2,90,4.8,1,1,89,84,1,
8.9,2,3,2,89,4.6,1,1,71,83,1,
8.2,1,2,1,90,4.8,1,1,78,71,1,
7.5,1,3,0,70,4.2,0,1,60,68,0,
7.7,1,2,0,68,3.9,0,1,62,63,0,
8.7,1,3,2,90,4.7,1,1,81,80,1,
7.5,1,1,1,65,4.4,0,1,55,60,0,
6.6,1,1,1,82,3.7,0,1,55,60,1,
7.4,2,3,1,84,4.8,0,1,77,68,1,
7.5,0,3,2,90,4.8,1,1,82,81,1,
8.2,1,1,1,79,4.6,0,1,55,61,0,
8.7,1,2,0,84,4.4,1,1,65,88,1,
8,2,3,1,87,4.2,1,1,75,81,1,
8.4,2,2,0,76,4.4,1,1,77,73,1,
8,2,2,2,81,4.5,0,0,69,71,0,
7.5,1,2,2,70,4.7,1,1,55,70,0,
6.5,1,3,2,90,4,1,0,85,65,1,
7.8,0,3,2,73,4.6,1,0,82,85,0,
7.6,1,2,0,64,4.5,0,1,62,63,0,
8.7,0,3,0,75,3.7,1,1,62,74,0,
7.2,1,1,0,85,3.5,0,1,84,70,0,
8.1,1,3,2,90,4.7,1,1,70,85,1,
7.4,1,2,0,77,4.1,1,1,55,77,0,
8.2,2,2,2,81,4.8,1,1,78,83,1,
8.2,2,1,2,90,4.8,1,1,79,68,1,
6.5,1,2,1,65,4,1,1,66,69,0,
7.4,0,2,1,73,3.8,0,0,58,70,0,
7.3,0,1,1,80,3.6,0,1,62,65,0,
8.7,0,1,1,87,4.1,0,0,72,63,0,
8.5,2,1,3,82,3.6,1,1,67,81,0,
8.5,1,3,2,74,4.1,0,1,76,68,1,
7.9,1,2,1,76,4.1,1,1,57,66,0,
7.4,2,3,0,71,4.8,1,1,86,73,0,
6.7,1,2,0,86,4.4,0,0,76,73,1,
8.3,2,3,2,82,4.8,1,1,57,73,1,
7.6,1,1,0,76,4.3,0,1,66,69,0,
7.5,1,2,0,90,4.2,0,1,77,64,1,
8.9,0,3,0,89,4.8,1,0,77,78,1,
7.3,1,1,0,79,4.1,1,0,57,64,0,
8.6,1,2,0,86,4.8,1,1,69,77,1,
8.2,2,3,2,90,4.8,1,1,81,84,1,
7.7,1,1,1,73,4.6,0,0,58,72,0,
7.9,1,3,0,88,4.7,1,1,87,85,1,
7.4,1,1,1,87,4.6,0,1,68,65,0,
6.9,0,1,0,90,4.5,1,1,81,80,1,
8,1,3,2,90,4.8,1,1,81,86,1,
7.1,1,3,0,81,4.4,1,1,78,72,0,
6.9,0,1,1,76,3.8,0,0,61,67,0,
8.5,2,3,2,90,4.8,1,1,80,84,1,
6.9,0,1,2,76,4.8,1,0,78,82,1,
7.3,1,1,1,77,4.7,1,1,57,75,0,
7.8,2,3,0,89,4.6,0,1,71,68,0,
8.3,2,1,0,81,4.1,1,1,76,83,0,
8.6,1,3,2,83,4.4,1,1,71,83,1,
8.6,2,3,0,87,4.8,0,0,75,66,0,
8.7,2,1,0,90,4.7,1,1,74,86,1,
7.5,1,3,2,90,4.2,1,1,80,72,1,
7.8,0,1,1,63,4.5,0,0,61,65,0,
6.5,0,1,0,71,3.4,0,1,59,67,0,
7.6,1,3,1,73,4.4,0,1,55,62,0,
6.5,1,1,1,80,3.8,1,1,58,65,0,
8,1,3,0,75,4.3,0,0,57,66,0,
8,2,3,0,86,4.8,1,1,73,82,1,
7.5,1,1,0,67,4.2,1,1,57,70,1,
7.8,1,3,0,78,4.4,0,1,77,70,1,
7.3,1,1,1,75,3.6,0,1,55,66,0,
7.8,1,2,0,82,4.7,1,1,77,67,0,
6.5,1,1,1,82,3.4,0,0,56,66,0,
8.1,1,3,3,90,4.8,1,1,69,82,1,
7.9,0,1,0,85,4.5,1,0,76,81,0,
8.7,1,3,0,74,4.6,1,1,86,83,1,
7.1,2,2,0,76,4,0,1,55,69,1,
8.9,1,3,2,81,4.8,1,0,82,81,1,
8.3,0,3,0,75,4.2,1,0,77,69,0,
8.3,1,2,0,90,4.5,1,1,82,80,1,
7.9,2,3,2,86,4.7,1,1,69,82,1,
8.1,2,3,2,90,4.5,1,1,78,81,1,
7.7,2,1,1,64,3.7,0,1,77,70,0,
8.1,2,3,2,85,4.5,1,1,76,88,1,
7.8,1,3,0,81,4.3,0,0,64,70,0,
7.2,1,1,1,67,3.8,0,0,59,63,0,
8.4,1,1,2,84,4.8,1,1,82,68,1,
8.4,2,3,2,90,4.8,1,1,82,86,1,
8.2,1,1,0,76,4.2,0,1,55,62,0,
6.5,0,1,0,67,4.3,1,0,81,63,1,
6.5,1,1,0,73,4.1,0,1,55,66,0,
8.3,2,3,2,90,4.8,1,1,74,83,1,
8.2,0,3,2,78,4.5,0,1,88,84,1,
8.1,1,2,2,76,4.5,1,1,79,81,1,
6.5,1,1,1,60,3.8,0,0,56,62,0,
8.2,0,3,1,83,4.7,1,0,81,87,0,
7.7,1,3,1,75,4.6,1,1,74,63,0,
7.7,0,3,2,89,4.4,1,1,82,85,1,
6.5,1,1,0,80,4.3,1,1,75,68,0,
8.3,2,3,2,87,4.8,1,1,74,80,0,
8,1,3,0,77,4.1,0,0,82,84,1,
8.6,0,2,1,90,4.6,1,1,56,87,1,
7.6,0,2,0,83,4.2,0,1,55,70,0,
7,1,1,1,71,4.3,0,1,74,64,0,
7.9,2,3,2,90,4.8,1,1,78,86,1,
7.7,1,3,2,84,4.6,1,1,80,83,1,
7.4,1,3,0,76,4.4,1,1,58,71,0,
6.5,1,1,1,78,4.1,0,1,55,62,0,
7.4,1,2,0,73,4.3,0,1,65,68,0,
7.8,2,3,2,84,4.1,1,1,76,80,1,
7.7,1,1,0,80,4.8,1,1,55,61,0,
7.9,0,1,0,60,3.4,0,0,64,59,0,
7.4,1,1,0,79,4.8,0,1,72,66,0,
8.2,2,2,1,76,4.6,1,1,66,65,0,
7.4,0,1,0,78,4.6,0,0,56,69,0,
6.7,1,1,1,66,3.6,0,0,55,67,0,
6.5,1,2,0,84,4.2,1,0,74,78,0,
7.8,0,1,1,73,4.8,1,1,77,88,1,
7.2,1,2,1,68,4.4,0,0,55,64,0,
8.1,0,2,0,88,4,0,1,67,84,1,
8.2,1,2,0,83,4.6,1,1,66,86,1,
8.2,0,3,3,90,4.7,1,1,65,87,1,
8.4,2,1,2,81,4.7,1,1,77,82,0,
7.8,0,3,2,77,4.2,1,1,83,76,0,
7.3,1,2,1,75,4.6,0,1,55,75,0,
7.5,1,1,0,67,4.6,0,0,86,62,0,
8,2,1,0,74,4.1,0,1,80,67,1,
7.5,2,3,2,90,4.7,1,1,80,83,1,
8.4,2,3,1,85,4.7,1,1,63,78,1,
6.6,1,1,0,73,3.4,0,0,56,69,0,
7.6,1,1,0,66,3.7,1,1,65,60,0,
7.1,1,2,0,80,4.3,1,1,69,65,0,
7.6,1,2,2,69,3.3,0,1,64,63,0,
7.5,1,1,2,75,3.5,1,1,55,64,0,
6.5,1,1,0,74,3.9,0,0,70,67,0,
6.7,1,1,1,73,4,0,1,62,65,0,
8.3,1,3,1,86,4.8,0,1,80,67,0,
8.6,2,1,2,73,4.6,1,0,55,82,0,
6.6,1,3,0,70,4.1,1,0,78,63,1,
8.3,1,3,0,82,4.8,1,1,71,88,0,
7.6,1,2,1,76,3.9,0,0,55,69,0,
8.3,2,3,2,79,4.4,1,1,74,80,1,
8.5,1,2,1,70,4.5,1,1,74,64,1,
7.7,1,2,0,82,4.3,0,1,77,67,0,
7.4,1,1,0,89,4.4,0,1,58,73,0,
8.8,1,3,2,88,4.8,1,1,79,86,1,
7,1,2,0,75,4.6,1,1,78,67,0,
7.7,0,3,2,86,4.7,0,1,79,67,0,
7.5,0,2,0,71,3.4,0,0,55,62,0,
7.5,1,1,1,79,3.6,0,1,63,65,0,
7.8,1,1,0,82,4.2,0,1,75,71,0,
6.8,1,1,2,74,4.2,1,0,77,84,0,
7.3,0,1,0,80,3.5,0,1,55,61,0,
7.2,0,2,1,60,3.6,0,0,74,71,0,
6.7,2,0,0,69,3.9,0,1,76,71,0,
7.3,0,3,2,77,4.6,1,1,72,88,1,
6.6,2,3,1,72,4.6,1,0,56,57,0,
6.9,2,1,0,67,4,1,0,59,61,0,
8.2,1,1,0,79,4.2,0,0,72,69,0,
6.7,1,2,1,80,4.1,0,0,63,59,0,
7.9,1,2,1,63,4.2,0,1,56,69,0,
8.3,2,3,2,89,4.7,1,1,80,88,1,
6.8,0,2,0,88,4.5,0,1,67,63,0,
7.6,1,2,0,88,4.8,0,1,57,68,0,
7.9,2,3,2,90,4.8,1,1,80,84,0,
